,ID,Type,Language_1,Lexemes_1,Meanings_1,Meaning_1,Direction,Languages_2,Lexemes_2,Meanings_2,Meaning_2
0,shift0007, Semantic evolution,"Ancient Greek, Irish Gaelic","Ancient Greek: [μετατρέπω], Irish Gaelic: [iompaigh]","μετατρέπω: [to turn back], iompaigh: [to turn, rotate (intr.)]","to turn back,to turn, rotate (intr.)",→,"Ancient Greek: [Modern Greek], Irish Gaelic: [Irish Gaelic]","μετατρέπω: [μετατρέπω], iompaigh: [iompaigh]","μετατρέπω: [to transform], iompaigh: [to become]","to transform,to become"
1,shift0008, Semantic evolution,Irish Gaelic,Irish Gaelic: [eolas],eolas: [to know],to know,→,Irish Gaelic: [Irish Gaelic],eolas: [eolas],eolas: [to know how],to know how
2,shift0013, Semantic evolution,Irish Gaelic,Irish Gaelic: [comhair],"comhair: [to calculate, count]","to calculate, count",→,Irish Gaelic: [Irish Gaelic],comhair: [comhair],comhair: [to take into account],to take into account
3,shift0016, Semantic evolution,Irish Gaelic,Irish Gaelic: [milis],milis: [sweet (taste)],sweet (taste),→,Irish Gaelic: [Irish Gaelic],milis: [milis],"milis: [dear, darling]","dear, darling"
4,shift0035, Semantic evolution,"French, Irish Gaelic","French: [considérer], Irish Gaelic: [feic]","considérer: [to stare, to gaze], feic: [to see/to look at]","to stare, to gaze,to see/to look at",→,"French: [French], Irish Gaelic: [Irish Gaelic]","considérer: [considérer], feic: [feic]","considérer: [to consider], feic: [to have opinion]","to consider,to have opinion"
5,shift0048, Semantic evolution,Latin,Latin: [aura],"aura: [air, breeze]","air, breeze",—,Latin: [Romansh],aura: [aura],"aura: [(Rumantsch Grischun, Sursilvan) weather]","(Rumantsch Grischun, Sursilvan) weather"
6,shift0057, Semantic evolution,Bulgarian,Bulgarian: [хлапе],хлапе: [boy],boy,←,Bulgarian: [Old Church Slavonic],хлапе: [хлапъ],"хлапъ: [servant, slave]","servant, slave"
7,shift0066, Semantic evolution,Russian,Russian: [galdet'],"galdet': [to clamor, to make a racket]","to clamor, to make a racket",→,Russian: [Russian],galdet': [galdet'],"galdet': [to say, to speak]","to say, to speak"
8,shift0068, Semantic evolution,Latin,Latin: [mane],mane: [morning],morning,—,"Latin: [French,Romanian,Aromanian,Catalan]","mane: [demain,mâine,mãni, mãne,demà]","demain,mâine,mãni, mãne,demà: [tomorrow]",tomorrow
9,shift0072, Semantic evolution,Latin,Latin: [color],color: [flower],flower,→,Latin: [Late Latin],color: [colores (pl.)],colores (pl.): [colour],colour
10,shift0073, Semantic evolution,Hill Mari,Hill Mari: [ширӹ],ширӹ: [(dated) sweet (taste)],(dated) sweet (taste),→,Hill Mari: [Hill Mari],ширӹ: [ширӹ],ширӹ: [fresh (of water)],fresh (of water)
11,shift0084, Semantic evolution,Russian,Russian: [грести],грести: [to dig],to dig,—,Russian: [Russian],грести: [грести],грести: [to row (with oars)],to row (with oars)
12,shift0099, Semantic evolution,Japanese,Japanese: [motomeru],motomeru: [look for],look for,→,Japanese: [Japanese],motomeru: [motomeru],"motomeru: [demand, request]","demand, request"
13,shift0102, Semantic evolution,Geez,Geez: [barra],"barra: [to purify, to make white]","to purify, to make white",→,Geez: [Geez],barra: [bərur],bərur: [silver],silver
14,shift0132, Semantic evolution,Latin,Latin: [Lunae dies],Lunae dies: [moon],moon,→,Latin: [Catalan],Lunae dies: [ Dilluns], Dilluns: [Monday],Monday
15,shift0140, Semantic evolution,French,French: [ravir],"ravir: [to steal, to carry away, to deprive of smth by force]","to steal, to carry away, to deprive of smth by force",—,French: [French],ravir: [ravir],"ravir: [to delight, to charm]","to delight, to charm"
16,shift0144, Semantic evolution,Irish Gaelic,Irish Gaelic: [ceangail],ceangail: [to be tied],to be tied,→,Irish Gaelic: [Irish Gaelic],ceangail: [ceangail],ceangail: [to feel affection],to feel affection
17,shift0150, Microevolution,Ancient Greek,Ancient Greek: [καθαρίζω],καθαρίζω: [to clean],to clean,→,Ancient Greek: [Ancient Greek],καθαρίζω: [καθαρίζω],"καθαρίζω: [to cure, treat (medically)]","to cure, treat (medically)"
18,shift0242, Semantic evolution,"Latin, Old East Slavic","Latin: [capio, -ere], Latin: [comprehendo, -ere], Old East Slavic: [пояти (pojati)], Old East Slavic: [уловити (uloviti)]","capio, -ere: [to catch], comprehendo, -ere: [to grasp], пояти (pojati): [to take, to get], уловити (uloviti): [to catch ]","to catch,to grasp,to take, to get,to catch ",→,"Latin: [Italian], Latin: [French], Old East Slavic: [Russian]","capio, -ere: [capire], comprehendo, -ere: [comprendre], пояти (pojati): [понять (ponjat')], уловити (uloviti): [уловить (ulovit')]","capire: [to understand], comprendre: [to understand], понять (ponjat'): [to understand ], уловить (ulovit'): [to capture, understand]","to understand,to understand ,to capture, understand"
19,shift0259, Semantic evolution,Latin,Latin: [serpens],serpens: [crawling],crawling,→,Latin: [French],serpens: [serpent],serpent: [snake],snake
20,shift0261, Semantic evolution,Old Irish,Old Irish: [taide],taide: [thief],thief,—,Old Irish: [Old Irish],taide: [taide],taide: [adulterer],adulterer
21,shift0272, Semantic evolution,"Acehnese, Indonesian, Old Japanese, Vietnamese","Acehnese: [ulon], Indonesian: [sahaya], Old Japanese: [boku], Vietnamese: [tŏi, tố]","ulon: [slave], sahaya: [servant], boku: [servant, slave], tŏi, tố: [servant]","slave,servant,servant, slave",→,"Acehnese: [Acehnese], Indonesian: [Indonesian], Old Japanese: [Japanese], Vietnamese: [Vietnamese]","ulon: [ulon], sahaya: [saya], boku: [boku], tŏi, tố: [tŏi, tố]","ulon: [I, me], saya: [I, me], boku: [I, me (male)], tŏi, tố: [I, me]","I, me,I, me (male)"
22,shift0273, Semantic evolution,"Burmese, Japanese, Thai","Burmese: [hyinv], Burmese: [minx], Japanese: [kimi], Thai: [câw], Thai: [naaj]","hyinv: [lord, master], minx: [king], kimi: [lord, emperor], câw: [prince, lord], naaj: [master, owner]","lord, master,king,lord, emperor,prince, lord,master, owner",→,"Burmese: [Burmese], Japanese: [Japanese], Thai: [Thai]","hyinv: [hyinv], minx: [minx], kimi: [kimi], câw: [câw], naaj: [naaj]","hyinv: [you], minx: [you], kimi: [you], câw: [you], naaj: [you]",you
23,shift0337, Semantic evolution,Old East Slavic,Old East Slavic: [поразити],"поразити: [to beat, hit]","to beat, hit",→,Old East Slavic: [Russian],поразити: [поразить],поразить: [to astonish],to astonish
24,shift0391, Semantic evolution,Old East Slavic,Old East Slavic: [добрыи],добрыи: [good],good,→,Old East Slavic: [Russian],добрыи: [добрый],"добрый: [kind, good-hearted]","kind, good-hearted"
25,shift0392, Semantic evolution,"Old East Slavic, Tamil","Old East Slavic: [хорошии], Tamil: [*nal-]","хорошии: [beautiful, decorated], *nal-: [good]","beautiful, decorated,good",→,"Old East Slavic: [Russian], Tamil: [Telugu]","хорошии: [horošij], *nal-: [naluvu]","horošij: [good], naluvu: [beauty, ability; beautiful.]","good,beauty, ability; beautiful."
26,shift0415, Semantic evolution,"Latin, Old East Slavic","Latin: [capto, -āre], Old East Slavic: [ловити]","capto, -āre: [various meanings related to catching], ловити: [to hunt, catch]","various meanings related to catching,to hunt, catch",→,"Latin: [Italian], Old East Slavic: [Old East Slavic]","capto, -āre: [cacciare], ловити: [ловить]","cacciare: [to hunt], ловить: [to catch]","to hunt,to catch"
27,shift0434, Semantic evolution,Medieval Latin,Medieval Latin: [spatula],spatula: [épaule humaine - man's shoulder],épaule humaine - man's shoulder,→,Medieval Latin: [Spanish],spatula: [espalda],espalda: [back],back
28,shift0442, Semantic evolution,Old East Slavic,Old East Slavic: [простыи],простыи: [straight],straight,→,Old East Slavic: [Russian],простыи: [простой],простой: [simple],simple
29,shift0446, Semantic evolution,Hopi,Hopi: [puvùpwpi(’at) ],puvùpwpi(’at) : [eyelid],eyelid,—,Hopi: [Hopi],puvùpwpi(’at) : [puvùpwpi(’at) ],puvùpwpi(’at) : [eyebrow],eyebrow
30,shift0497, Semantic evolution,Hungarian,Hungarian: [orr],"orr: [top, mountain]","top, mountain",,Hungarian: [Hungarian],orr: [orr],orr: [nose],nose
31,shift0557, Semantic evolution,Old Irish,Old Irish: [scel],scel: [history],history,→,Old Irish: [Old Irish],scel: [scel],"scel: [event, occurrence]","event, occurrence"
32,shift0560, Semantic evolution,Latin,"Latin: [confundo, confundere]","confundo, confundere: [to mix, stir]","to mix, stir",→,Latin: [French],"confundo, confundere: [confondre]",confondre: [to confuse (with)],to confuse (with)
33,shift0575, Semantic evolution,Chadian Arabic,Chadian Arabic: [binēye (بنية)],binēye (بنية): [girl],girl,←,Chadian Arabic: [Modern Written Arabic],binēye (بنية): [bunayya (بُنَيَّة)],bunayya (بُنَيَّة): [little daughter],little daughter
34,shift0580, Semantic evolution,Russian,Russian: [ряшка / ряжка (rjaška / rjažka)],"ряшка / ряжка (rjaška / rjažka): [small tub, bucket]","small tub, bucket",—,Russian: [Russian],"ряшка / ряжка (rjaška / rjažka): [ряшка, ряха (rjaška, rjaha)]","ряшка, ряха (rjaška, rjaha): [face (substandard, contempt., vulg. )]","face (substandard, contempt., vulg. )"
35,shift0622, Semantic evolution,Latin,Latin: [nova],nova: [new (feminine nominative/vocative singular)],new (feminine nominative/vocative singular),→,"Latin: [Spanish,Portuguese]","nova: [novia,noiva]","novia,noiva: [bride]",bride
36,shift0695, Semantic evolution,Old East Slavic,Old East Slavic: [поразити],"поразити: [to strike, hit]","to strike, hit",→,Old East Slavic: [Russian],поразити: [поражение],"поражение: [to defeat, win]","to defeat, win"
37,shift0732, Semantic evolution,Latin,Latin: [rota],rota: [the wheel of a vehicle],the wheel of a vehicle,→,Latin: [Spanish],rota: [rodilla],rodilla: [knee],knee
38,shift0733, Semantic evolution,Middle English,Middle English: [wrong],"wrong: [curved, crooked, bent]","curved, crooked, bent",—,Middle English: [English],wrong: [wrong],wrong: [wrong],wrong
39,shift0743, Semantic evolution,Latin,"Latin: [pendo, -ere]","pendo, -ere: [to weight (objects)]",to weight (objects),→,Latin: [French],"pendo, -ere: [penser]",penser: [to think],to think
40,shift0779, Semantic evolution,"Akkadian, Arabic","Akkadian: [bi/urku], Arabic: [faḫiḏ-]","bi/urku: [knee], faḫiḏ-: [thigh; the smallest subdivision of a tribe]","knee,thigh; the smallest subdivision of a tribe",→,"Akkadian: [Tigrinya], Arabic: [Soqotri]","bi/urku: [bərək], faḫiḏ-: [fâḥid]","bərək: [community], fâḥid: [people]","community,people"
41,shift0782, Semantic evolution,Classical Arabic,Classical Arabic: [أَلْمَعُ ʔalmaʕ-u],"أَلْمَعُ ʔalmaʕ-u: [brightly shining, sparkling, flashing, glowing]","brightly shining, sparkling, flashing, glowing",→,Classical Arabic: [Modern Written Arabic],أَلْمَعُ ʔalmaʕ-u: [أَلْمَعُ ʔalmaʕ-u],"أَلْمَعُ ʔalmaʕ-u: [sagacious, smart, shrewd, clever, bright, intelligent]","sagacious, smart, shrewd, clever, bright, intelligent"
42,shift0796, Semantic evolution,Old High German,Old High German: [tragan],tragan: [to carry],to carry,—,Old High German: [Dutch],tragan: [drachling],drachling: [pregnant],pregnant
43,shift0822, Semantic evolution,Latin,Latin: [vermiculus],"vermiculus: [little worm (→  the scarlet worm, Vulg. Exod. 35, 25; cf. Hier. Ep. 64, 19)]","little worm (→  the scarlet worm, Vulg. Exod. 35, 25; cf. Hier. Ep. 64, 19)",→,Latin: [Old French],vermiculus: [vermeil],vermeil: [bright red; vermilion],bright red; vermilion
44,shift0824, Semantic evolution,Latin,Latin: [crocum],crocum: [saffron (Crocus sativus)],saffron (Crocus sativus),→,Latin: [Catalan],crocum: [groc],groc: [yellow],yellow
45,shift0837, Semantic evolution,Old East Slavic,Old East Slavic: [гость],"гость: [guest, stranger]","guest, stranger",→,Old East Slavic: [Old East Slavic],гость: [гость],гость: [guest merchant],guest merchant
46,shift0845, Semantic evolution,Old East Slavic,Old East Slavic: [брань (bran')],брань (bran'): [fight],fight,→,Old East Slavic: [Russian],брань (bran'): [браниться],браниться: [to quarell],to quarell
47,shift0848, Semantic evolution,Latin,Latin: [ad noctem],ad noctem: [at night],at night,→,Latin: [Portuguese],ad noctem: [ontem],ontem: [yesterday],yesterday
48,shift0849, Semantic evolution,Polish,Polish: [ważny],ważny: [heavy (of weight)],heavy (of weight),→,Polish: [Polish],ważny: [ważny],ważny: [important],important
49,shift0878, Semantic evolution,"Classical Arabic, Old Sweden, Sabaic, Soqotri","Classical Arabic: [اقْتَنَى ˀiqtanā (VIII stem)], Old Sweden: [boskap], Sabaic: [ḳny], Soqotri: [ḳénho]","اقْتَنَى ˀiqtanā (VIII stem): [to possess], boskap: [household, household goods, property], ḳny: [to acquire], ḳénho: [property, possessions]","to possess,household, household goods, property,to acquire,property, possessions",→,"Classical Arabic: [Classical Arabic], Old Sweden: [Swedish], Sabaic: [Sabaic], Soqotri: [Soqotri]","اقْتَنَى ˀiqtanā (VIII stem): [اقْتَنَى ˀiqtanā (VIII stem)], boskap: [boskap], ḳny: [ḳny], ḳénho: [ḳén(h)o]","اقْتَنَى ˀiqtanā (VIII stem): [to acquire cattle (camels)], boskap: [cattle], ḳny: [livestock, cattle], ḳén(h)o: [animals, cattle]","to acquire cattle (camels),cattle,livestock, cattle,animals, cattle"
50,shift0898, Semantic evolution,"English, Latin","English: [cheek], Latin: [maxilla]","cheek: [cheek], maxilla: [jaw]","cheek,jaw",,"English: [Old English], Latin: [Italian]","cheek: [cēace], maxilla: [mascella]","cēace: [jaw], mascella: [cheek]","jaw,cheek"
51,shift0905, Semantic evolution,Latin,Latin: [absurdus],"absurdus: [mraningless, absurd]","mraningless, absurd",,Latin: [Spanish],absurdus: [zurdo],zurdo: [left (hand); awkward],left (hand); awkward
52,shift0911, Semantic evolution,Latin,Latin: [talpa],talpa: [mole (Talpa)],mole (Talpa),→,Latin: [Italian],talpa: [topo],"topo: [mouse, rat]","mouse, rat"
53,shift0922, Semantic evolution,Ancient Greek,Ancient Greek: [ἐξευρίσκω],"ἐξευρίσκω: [to find out, discover]","to find out, discover",→,Ancient Greek: [Modern Greek],ἐξευρίσκω: [ξέρω],ξέρω: [to know],to know
54,shift0940, Semantic evolution,Old East Slavic,Old East Slavic: [суровъ],суровъ: [raw],raw,→,Old East Slavic: [Russian],суровъ: [суровый],"суровый: [severe, harsh]","severe, harsh"
55,shift0942, Semantic evolution,Latin,Latin: [absurdus],"absurdus: [senseless, meaningless]","senseless, meaningless",,Latin: [Spanish],absurdus: [zurdo],zurdo: [left (hand); awkward],left (hand); awkward
56,shift0943, Semantic evolution,Latin,"Latin: [accapto, -are]","accapto, -are: [to catch, to seize]","to catch, to seize",→,Latin: [French],"accapto, -are: [acheter]",acheter: [to buy],to buy
57,shift0964, Semantic evolution,Latin,Latin: [habeo],habeo: [to possess],to possess,→,Latin: [Spanish],habeo: [hay],"hay: [to be, exist]","to be, exist"
58,shift0970, Semantic evolution,Latin,"Latin: [intendo, -ere]","intendo, -ere: [to strain]",to strain,→,Latin: [Medieval Latin],"intendo, -ere: [intendo, intendere]","intendo, intendere: [to understand]",to understand
59,shift0977, Semantic evolution,Latin,Latin: [testa],testa: [pot],pot,→,Latin: [French],testa: [tête],tête: [head],head
60,shift0980, Semantic evolution,"Ancient Greek, Old East Slavic","Ancient Greek: [τρέχω], Old East Slavic: [течи]","τρέχω: [to run], течи: [to move fast]","to run,to move fast",→,"Ancient Greek: [Modern Greek], Old East Slavic: [Russian]","τρέχω: [τρέχω], течи: [течь (teč')]","τρέχω: [to run, to flow], течь (teč'): [to flow]","to run, to flow,to flow"
61,shift0981, Semantic evolution,Latin,"Latin: [spero, -are]","spero, -are: [to hope]",to hope,—,Latin: [Spanish],"spero, -are: [esperar]",esperar: [to wait],to wait
62,shift0983, Semantic evolution,Latin,"Latin: [demoror, -ari]","demoror, -ari: [to delay, to linger]","to delay, to linger",—,Latin: [French],"demoror, -ari: [demeurer]","demeurer: [to live, to dwell]","to live, to dwell"
63,shift1005, Semantic evolution,"Icelandic, Latin","Icelandic: [höfuð], Latin: [caput]","höfuð: [head], caput: [head]",head,→,"Icelandic: [Icelandic], Latin: [French]","höfuð: [höfuð], caput: [chef]","höfuð: [chief], chef: [chief]",chief
64,shift1007, Semantic evolution,Anatolian Arabic,Anatolian Arabic: [nahār],nahār: [sun],sun,←,Anatolian Arabic: [Anatolian Arabic],nahār: [nahār],nahār: [day],day
65,shift1011, Semantic evolution,Latin,"Latin: [premo, -ere]","premo, -ere: [to press]",to press,—,Latin: [French],"premo, -ere: [imprimer]",imprimer: [to print],to print
66,shift1055, Semantic evolution,"Latin, Old East Slavic","Latin: [stagnum], Old East Slavic: [олово (olovo)]","stagnum: [an alloy of silver and lead], олово (olovo): [lead]","an alloy of silver and lead,lead",—,"Latin: [Late Latin], Old East Slavic: [Old East Slavic]","stagnum: [stannum], олово (olovo): [олово (olovo)]","stannum: [tin (n.)], олово (olovo): [tin]","tin (n.),tin"
67,shift1064, Semantic evolution,Swedish,Swedish: [hane],hane: [rooster],rooster,→,Swedish: [Swedish],hane: [hane],hane: [cock (of a gun)],cock (of a gun)
68,shift1089, Semantic evolution,Spanish,Spanish: [querer],querer: [to want],to want,←,Spanish: [Latin],"querer: [quaero, -ere]","quaero, -ere: [to ask, inquire]","to ask, inquire"
69,shift1108, Semantic evolution,Irish Gaelic,Irish Gaelic: [geal],"geal: [light, bright, clear]","light, bright, clear",→,Irish Gaelic: [Irish Gaelic],geal: [geal],geal: [glad],glad
70,shift1152, Semantic evolution,Armenian,Armenian: [mard (մարդ)],mard (մարդ): [mortal],mortal,→,Armenian: [Armenian],mard (մարդ): [mard (մարդ)],mard (մարդ): [person],person
71,shift1163, Semantic evolution,Old French,Old French: [labourer],labourer: [to work],to work,—,Old French: [French],labourer: [labourer],labourer: [to plough],to plough
