,ID,Type,Language_1,Lexemes_1,Meanings_1,Meaning_1,Direction,Languages_2,Lexemes_2,Meanings_2,Meaning_2
149,shift2720, Semantic evolution,Old East Slavic,Old East Slavic: [волухъ],волухъ: [bull shepherd],bull shepherd,→,Old East Slavic: [Russian],волухъ: [олух (oluh)],"олух (oluh): [(derogatory) blockhead, stupid person]","(derogatory) blockhead, stupid person"
150,shift2739, Semantic evolution,Old English,Old English: [clúd],"clúd: [a mass of rock, hill]","a mass of rock, hill",→,Old English: [English],clúd: [cloud],cloud: [cloud],cloud
151,shift2753, Semantic evolution,Latin,Latin: [capitalis],capitalis: [(relational) of the head],(relational) of the head,→,"Latin: [Catalan,Romansh]","capitalis: [capital,chapitala]","capital,chapitala: [capital city]",capital city
152,shift2772, Semantic evolution,Middle Persian (Pahlavi),Middle Persian (Pahlavi): [mkwk' /makōg/],mkwk' /makōg/: [boat],boat,→,Middle Persian (Pahlavi): [Farsi],mkwk' /makōg/: [makōk (مکوک)],makōk (مکوک): [shuttle (weaving instrument)],shuttle (weaving instrument)
153,shift2820, Semantic evolution,Latin,Latin: [capitulum],capitulum: [small head],small head,→,Latin: [Occitan],capitulum: [cabelh],cabelh: [corn head],corn head
154,shift2870, Semantic evolution,Latin,Latin: [longus],longus: [long],long,→,Latin: [French],longus: [loin],loin: [far],far
155,shift2882, Semantic evolution,Latin,Latin: [minuta],minuta: [small (adj. fem.)],small (adj. fem.),→,Latin: [Medieval Latin],minuta: [minuta],minuta: [minute],minute
156,shift2926, Semantic evolution,English,English: [maid],maid: [(arch.) an unmarried girl or woman],(arch.) an unmarried girl or woman,→,English: [English],maid: [maid],maid: [a female servant],a female servant
157,shift2971, Semantic evolution,Latin,Latin: [aculeus],"aculeus: [thorn, spine]","thorn, spine",→,Latin: [Old French],aculeus: [aiglant],aiglant: [wild rosebush],wild rosebush
158,shift2979, Semantic evolution,Sanskrit,Sanskrit: [álpa (अल्प)],"álpa (अल्प): [little, small]","little, small",→,Sanskrit: [Assamese],álpa (अल्प): [api (আপী)],api (আপী): [girl],girl
159,shift2988, Semantic evolution,Latin,Latin: [dominus],"dominus: [the master of a household, estate, or other property, owner, proprietor]","the master of a household, estate, or other property, owner, proprietor",→,Latin: [Italian],dominus: [donna],donna: [woman],woman
160,shift2990, Semantic evolution,Latin,Latin: [largus],"largus: [1) Munificent, generous, bountiful, lavish; 2) Furnished liberally, plentiful, bounteous, unstinted, copious]","1) Munificent, generous, bountiful, lavish; 2) Furnished liberally, plentiful, bounteous, unstinted, copious",→,Latin: [Spanish],largus: [largo],largo: [long],long
161,shift2991, Semantic evolution,Latin,Latin: [largus],"largus: [1) Munificent, generous, bountiful, lavish; 2) Furnished liberally, plentiful, bounteous, unstinted, copious], largus: [abundant, plentiful, copious]","1) Munificent, generous, bountiful, lavish; 2) Furnished liberally, plentiful, bounteous, unstinted, copious,abundant, plentiful, copious",→,"Latin: [Italian], Latin: [French,Portuguese]","largus: [largo], largus: [large,largo]","largo: [wide], large,largo: [wide, broad]","wide,wide, broad"
162,shift2994, Semantic evolution,Old English,Old English: [beám],beám: [a tree],a tree,→,Old English: [English],beám: [beam],"beam: [a long heavy piece of wood or metal used in building houses, bridges etc]","a long heavy piece of wood or metal used in building houses, bridges etc"
163,shift2995, Semantic evolution,Latin,Latin: [fustis],"fustis: [a stick, rod]","a stick, rod",→,Latin: [French],fustis: [fût],fût: [Tronc d'arbre dans sa partie droite et dépourvue de branches],Tronc d'arbre dans sa partie droite et dépourvue de branches
164,shift2996, Semantic evolution,Latin,Latin: [labor],"labor: [work, labour, toil]","work, labour, toil",→,Latin: [Catalan],labor: [llavor],"llavor: [grain, seed]","grain, seed"
165,shift2997, Semantic evolution,Latin,Latin: [gula],gula: [the throat with its passages],the throat with its passages,→,Latin: [Romanian],gula: [gură],gură: [mouth],mouth
166,shift2998, Semantic evolution,Portuguese,Portuguese: [asa],asa: [handle],handle,→,Portuguese: [Portuguese],asa: [asa],asa: [wing],wing
167,shift3041, Semantic evolution,Old Udi,Old Udi: [ajz],"ajz: [world, region, (inhabited) lands,]","world, region, (inhabited) lands,",→,Old Udi: [Udi],ajz: [aiz // ajiz],aiz // ajiz: [village],village
168,shift3045, Semantic evolution,Latvian,Latvian: [debess],debess: [cloud],cloud,←,Latvian: [Latvian],debess: [debess],debess: [(archaic) sky],(archaic) sky
169,shift3063, Semantic evolution,Old Norse,Old Norse: [æla],"æla: [to pour, to flow quickly]","to pour, to flow quickly",→,Old Norse: [Icelandic],æla: [æla],æla: [to vomit],to vomit
170,shift3064, Semantic evolution,French,French: [baiser],baiser: [(dated outside Canada) to kiss ],(dated outside Canada) to kiss ,→,French: [French],baiser: [baiser],"baiser: [(vulgar slang, transitive, intransitive) to fuck]","(vulgar slang, transitive, intransitive) to fuck"
171,shift3065, Semantic evolution,Ancient Greek,Ancient Greek: [γαμέω],"γαμέω: [marry, i.e. take to wife, of the man]","marry, i.e. take to wife, of the man",→,Ancient Greek: [Modern Greek],γαμέω: [γαμώ],"γαμώ: [(colloquial, vulgar) to fuck]","(colloquial, vulgar) to fuck"
172,shift3084, Semantic evolution,Latin,Latin: [tempestas],tempestas: [weather],weather,→,Latin: [Italian],tempestas: [tempesta],tempesta: [storm],storm
173,shift3085, Microevolution,Russian,Russian: [погода],погода: [weather],weather,←,Russian: [Russian],погода: [непогода],непогода: [good weather],good weather
174,shift3088, Semantic evolution,Latin,"Latin: [neco, necare]","neco, necare: [to kill]",to kill,→,"Latin: [French,Romanian,Catalan,Italian,Spanish]","neco, necare: [noyer,îneca,negar,annegare,anegar]","noyer,îneca,negar,annegare,anegar: [to sink, drown]","to sink, drown"
175,shift3089, Semantic evolution,"Galician, Latin","Galician: [verán], Latin: [ver]","verán: [(archaic) late spring and early summer], ver: [spring], ver: [spring (season)]","(archaic) late spring and early summer,spring,spring (season)",→,"Galician: [Galician], Latin: [Romanian], Latin: [Spanish,Portuguese]","verán: [verán], ver: [vară], ver: [verano,verão]","verán: [summer], vară: [summer], verano,verão: [summer]",summer
176,shift3090, Semantic evolution,Latin,Latin: [paludem],"paludem: [swamp, marsh]","swamp, marsh",→,Latin: [Romanian],paludem: [pădure],pădure: [forest],forest
177,shift3091, Semantic evolution,Latin,Latin: [visus],"visus: [look, gaze]","look, gaze",→,Latin: [Old French],visus: [vis],vis: [face],face
178,shift3092, Semantic evolution,Latin,Latin: [rostrum],rostrum: [beak],beak,→,"Latin: [Spanish,Galician]",rostrum: [rostro],rostro: [face],face
179,shift3095, Semantic evolution,Latin,Latin: [calere],calere: [to be hot],to be hot,→,Latin: [Old French],calere: [chaut],chaut: [necessary],necessary
180,shift3118, Semantic evolution,Old French,Old French: [garir],garir: [to protect],to protect,→,Old French: [French],garir: [guérir],guérir: [to heal],to heal
181,shift3140, Semantic evolution,Latin,Latin: [amarus],amarus: [bitter],bitter,→,Latin: [Spanish],amarus: [amarillo],amarillo: [yellow],yellow
182,shift3210, Semantic evolution,Ancient Greek,Ancient Greek: [μελᾰνείμων],μελᾰνείμων: [black clad],black clad,→,Ancient Greek: [Byzantine Greek],μελᾰνείμων: [μελᾰνείμων],μελᾰνείμων: [monk],monk
183,shift3231, Semantic evolution,Latin,Latin: [fusus],fusus: [spindle],spindle,→,Latin: [French],fusus: [fusain],fusain: [spindle wood],spindle wood
184,shift3241, Semantic evolution,Hungarian,Hungarian: [franc],franc: [French],French,→,Hungarian: [Hungarian],franc: [franc],franc: [syphilis],syphilis
185,shift3242, Semantic evolution,French,French: [col],col: [neck],neck,→,French: [French],col: [col],col: [neck (of bottle etc.)],neck (of bottle etc.)
186,shift3251, Microevolution,Russian,Russian: [понедельник],понедельник: [the day after Sunday],the day after Sunday,→,Russian: [Russian],понедельник: [неделя],неделя: [week],week
187,shift3282, Semantic evolution,Latin,Latin: [libra],libra: [weight unit],weight unit,→,Latin: [Italian],libra: [lira],lira: [money unit],money unit
188,shift3306, Semantic evolution,Italian,Italian: [pigliàre],"pigliàre: [to grab, catch, take]","to grab, catch, take",←,Italian: [Medieval Latin],"pigliàre: [pilo, pilare]","pilo, pilare: [to plunder]",to plunder
189,shift3376, Semantic evolution,Middle English,Middle English: [big],"big: [Of living beings: Of great strength or power; strong, stout, mighty]","Of living beings: Of great strength or power; strong, stout, mighty",→,Middle English: [English],big: [big],"big: [Of great size, bulk, or extent; large]","Of great size, bulk, or extent; large"
190,shift3406, Semantic evolution,German,German: [Witz],Witz: [knowledge],knowledge,→,German: [German],Witz: [Witz],Witz: [joke],joke
191,shift3484, Semantic evolution,"Amharic, Ancient Hebrew","Amharic: [tänättänä], Ancient Hebrew: [נִתַּח nittaḥ]","tänättänä: [to divide up the food and give one his allotted portion, e.g. steward in a monastery, to apportion], נִתַּח nittaḥ: [to divide into several parts]","to divide up the food and give one his allotted portion, e.g. steward in a monastery, to apportion,to divide into several parts",→,"Amharic: [Amharic], Ancient Hebrew: [Modern Hebrew]","tänättänä: [tänättänä], נִתַּח nittaḥ: [lenateaḥ]","tänättänä: [to analyze (a matter, a text), to treat (discuss)ö to clarify, explain, to describe], lenateaḥ: [to analyse]","to analyze (a matter, a text), to treat (discuss)ö to clarify, explain, to describe,to analyse"
192,shift3496, Semantic evolution,Ancient Hebrew,Ancient Hebrew: [חִיָּה ḥiyyā (pi'el-stem)],"חִיָּה ḥiyyā (pi'el-stem): [to let live, preserve alive]","to let live, preserve alive",→,Ancient Hebrew: [Ancient Hebrew],חִיָּה ḥiyyā (pi'el-stem): [חִיָּה ḥiyyā (pi'el-stem)],"חִיָּה ḥiyyā (pi'el-stem): [to repaire, restore]","to repaire, restore"
193,shift3501, Semantic evolution,Polish,Polish: [rzecz],"rzecz: [speech, conversation]","speech, conversation",→,Polish: [Polish],rzecz: [rzecz],rzecz: [thing],thing
194,shift3508, Semantic evolution,Old English,Old English: [wanten],wanten: [to be necessary],to be necessary,→,Old English: [English],wanten: [want],want: [to wish for or desire (something)],to wish for or desire (something)
195,shift3527, Semantic evolution,Macedonian,Macedonian: [глава],глава: [head],head,→,Macedonian: [Macedonian],глава: [глава],"глава: [top, upper part]","top, upper part"
196,shift3588, Semantic evolution,Classical Armenian,Classical Armenian: [šnorh (շնորհ)],"šnorh (շնորհ): [grace, favour; benefit, gift, something given freely]","grace, favour; benefit, gift, something given freely",→,Classical Armenian: [Armenian],šnorh (շնորհ): [šnorhkʿ (շնորհք)],šnorhkʿ (շնորհք): [talent],talent
197,shift3736, Semantic evolution,Sanskrit,Sanskrit: [mákara (मकर)],"mákara (मकर): [makara], mákara (मकर): [monster (supernatural)]","makara,monster (supernatural)",→,"Sanskrit: [Hindi], Sanskrit: [Urdu]","mákara (मकर): [magar (मगर)], mákara (मकर): [magar (مگر)]","magar (मगर): [crocodile], magar (مگر): [crocodile]",crocodile
198,shift3745, Semantic evolution,"Latin, Romanian","Latin: [cilium ], Latin: [palpebra ], Romanian: [geană]","cilium : [eyelid], palpebra : [eyelid], geană: [eyelid]",eyelid,—,"Latin: [Latin], Latin: [Occitan], Romanian: [Romanian]","cilium : [cilium ], palpebra : [parpèlha ], geană: [geană]","cilium : [eyelash], parpèlha : [eyelash], geană: [eyelash]",eyelash
199,shift3747, Semantic evolution,Latin,Latin: [costa],costa: [rib],rib,—,Latin: [Galician],costa: [costas],costas: [(pl.) back (body part)],(pl.) back (body part)
200,shift3771, Semantic evolution,Latin,Latin: [clueo],clueo: [to hear / to listen],to hear / to listen,—,Latin: [Latin],clueo: [clueo],"clueo: [to have a reputation, to pass for; to be reputed]","to have a reputation, to pass for; to be reputed"
201,shift3855, Semantic evolution,Old Irish,Old Irish: [*gasto-],*gasto-: [stranger],stranger,→,Old Irish: [Old Irish],*gasto-: [gataid],gataid: [to deprive],to deprive
202,shift3857, Semantic evolution,Russian,Russian: [напрасный],напрасный: [sudden],sudden,→,Russian: [Russian],напрасный: [напрасный],напрасный: [vain],vain
203,shift3906, Semantic evolution,Latin,Latin: [pupa],pupa: [little girl],little girl,—,Latin: [Latin],pupa: [pupille],pupille: [pupil (of an eye)],pupil (of an eye)
204,shift3946, Semantic evolution,"German, Russian","German: [Fähnrich], Russian: [прапорщик]","Fähnrich: [standart-bearer], прапорщик: [standart-bearer]",standart-bearer,→,"German: [German], Russian: [Russian]","Fähnrich: [Fähnrich], прапорщик: [прапорщик]","Fähnrich: [a military rank of the Bundeswehr, Austrian Armed Forces and former German armed forces], прапорщик: [military rank]","a military rank of the Bundeswehr, Austrian Armed Forces and former German armed forces,military rank"
205,shift3962, Semantic evolution,Cornish,Cornish: [gwragh],gwragh: [old woman],old woman,→,Cornish: [Cornish],gwragh: [gwragh],gwragh: [witch],witch
206,shift3963, Semantic evolution,Latin,Latin: [strix],"strix: [a kind of owl, regarded as a bird of ill omen, sometimes as a vampire or evil spirit]","a kind of owl, regarded as a bird of ill omen, sometimes as a vampire or evil spirit",→,Latin: [Italian],strix: [strige],strige: [witch],witch
207,shift4092, Semantic evolution,Brahui,Brahui: [*mun-],"*mun-: [front part, front]","front part, front",—,Brahui: [Brahui],*mun-: [muskōī],muskōī: [ancestor],ancestor
208,shift4100, Semantic evolution,Enindhilyagwa,Enindhilyagwa: [akwalaya],akwalaya: [fish],fish,→,Enindhilyagwa: [Enindhilyagwa],"akwalaya: [fishes, sea animals]","fishes, sea animals: [animals]",animals
209,shift4120, Semantic evolution,Kawi (Old Javanese),Kawi (Old Javanese): [jĕne],jĕne: [turmeric (Curcuma)],turmeric (Curcuma),→,Kawi (Old Javanese): [Javanese],jĕne: [jené],jené: [(krama) yellow],(krama) yellow
210,shift4122, Semantic evolution,Ancient Greek,Ancient Greek: [κίτρινος],κίτρινος: [of the citron tree],of the citron tree,→,Ancient Greek: [Modern Greek],κίτρινος: [κίτρινος],κίτρινος: [yellow],yellow
211,shift4197, Semantic evolution,Latin,Latin: [rapum],rapum: [turnip (Brassica rapa var. rapa)],turnip (Brassica rapa var. rapa),→,Latin: [Spanish],rapum: [rabo],rabo: [tail],tail
212,shift4200, Semantic evolution,Ancient Greek,Ancient Greek: [κύριος],κύριος: [lord],lord,→,Ancient Greek: [Apulia-Calabrian Greek],κύριος: [ciuri],ciuri: [father],father
213,shift4204, Semantic evolution,Ancient Hebrew,Ancient Hebrew: [ḥōṣän],"ḥōṣän: [fold of garment, bosom]","fold of garment, bosom",—,Ancient Hebrew: [Akkadian],ḥōṣän: [ḫiṣnu],ḫiṣnu: [protection],protection
214,shift4216, Semantic evolution,Gaulish,Gaulish: [*sepanios],"*sepanios: [to follow, go after smb.]","to follow, go after smb.",→,Gaulish: [Gothic],*sepanios: [siponeis],siponeis: [to be adherent],to be adherent
215,shift4228, Semantic evolution,"Italian, Latin, Spanish","Italian: [bruma], Latin: [bruma], Spanish: [bruma]",bruma: [winter],winter,→,"Italian: [Italian], Latin: [Catalan,French], Spanish: [Spanish]","bruma: [bruma], bruma: [broma,brume]","bruma: [mist, fog], broma,brume: [mist, fog], bruma: [haze, especially costal fog]","mist, fog,haze, especially costal fog"
216,shift4229, Semantic evolution,Latin,Latin: [bruma],"bruma: [winter solstice, (by extension) winter]","winter solstice, (by extension) winter",→,Latin: [Romanian],bruma: [brumă],brumă: [hoar-frost],hoar-frost
217,shift4235, Semantic evolution,Tauro-Romaic (Mariupol Greek),Tauro-Romaic (Mariupol Greek): [педъы],педъы: [son],son,←,Tauro-Romaic (Mariupol Greek): [Ancient Greek],педъы: [παιδίον],παιδίον: [child],child
218,shift4245, Semantic evolution,Tzotzil,Tzotzil: [7isak’],7isak’: [sweet potato (Ipomoea batatas)],sweet potato (Ipomoea batatas),→,Tzotzil: [Tzotzil],7isak’: [7isak’],7isak’: [potato],potato
219,shift4247, Semantic evolution,Finnish,Finnish: [peruna],peruna: [pear],pear,→,Finnish: [Finnish],peruna: [peruna],peruna: [potato],potato
220,shift4372, Semantic evolution,Latin,Latin: [ferrum],ferrum: [iron],iron,→,Latin: [Spanish],ferrum: [ferro],ferro: [galleys anchor],galleys anchor
221,shift4441, Semantic evolution,Old English,"Old English: [sċytel, sċutel]","sċytel, sċutel: [dart, arrow]","dart, arrow",→,Old English: [English],"sċytel, sċutel: [shuttle]",shuttle: [shuttle],shuttle
222,shift4557, Semantic evolution,Old Irish,"Old Irish: [slicht, sliocht]","slicht, sliocht: [footprint, track]","footprint, track",→,Old Irish: [Old Irish],"slicht, sliocht: [sliocht]","sliocht: [семья, род, племя, отпрыск, потомок]","семья, род, племя, отпрыск, потомок"
223,shift4596, Semantic evolution,Ancient Greek,Ancient Greek: [φακός],φακός: [lentil],lentil,→,Ancient Greek: [Modern Greek],φακός: [φακός],φακός: [lens],lens
224,shift4620, Semantic evolution,Old East Slavic,Old East Slavic: [въникнути],въникнути: [to get into],to get into,→,Old East Slavic: [Russian],въникнути: [вникнуть],вникнуть: [to understand],to understand
225,shift4646, Semantic evolution,Welsh,Welsh: [drych],drych: [to see/to look at],to see/to look at,→,Welsh: [Welsh],drych: [drych],drych: [mirror],mirror
226,shift4647, Semantic evolution,Portuguese,Portuguese: [dona],"dona: [female owner, mistress]","female owner, mistress",→,Portuguese: [Brazilian Portuguese],dona: [dona],dona: [wife],wife
227,shift4663, Semantic evolution,Latin,Latin: [libet (impers.)],libet (impers.): [to want],to want,→,Latin: [Medieval Latin],libet (impers.): [quodlibet],quodlibet: [anything],anything
228,shift4720, Semantic evolution,Old East Slavic,Old East Slavic: [дрѣмѫчии],дрѣмѫчии: [sleeping],sleeping,→,Old East Slavic: [Old East Slavic],дрѣмѫчии: [дремучий],дремучий: [dense (forest)],dense (forest)
229,shift4808, Semantic evolution,Latin,"Latin: [marito, -are]","marito, -are: [to marry]",to marry,→,Latin: [Latin],"marito, -are: [maritus]",maritus: [husband],husband
